,predict,target
5982,91.0,91.0
5284,85.0,85.0
1051,90.0,90.0
3235,84.0,84.0
4995,89.0,89.0
7860,79.0,79.0
1750,77.0,77.0
3628,66.0,66.0
475,71.0,71.0
1774,97.0,97.0
4963,93.0,93.0
3523,87.0,87.0
1237,93.0,93.0
4105,98.0,98.0
3431,89.0,89.0
7807,82.0,82.0
5432,95.0,95.0
6321,92.0,92.0
4250,93.0,93.0
7810,84.0,84.0
6086,66.0,66.0
7349,94.0,94.0
2588,93.0,93.0
5909,60.0,60.0
7395,66.0,66.0
6325,81.0,81.0
7360,80.0,80.0
2355,84.0,84.0
5841,72.0,72.0
143,70.0,70.0
2655,99.0,99.0
1974,73.0,73.0
4887,94.0,94.0
3822,73.0,73.0
4915,73.0,73.0
2194,80.0,80.0
7126,94.0,94.0
1722,91.0,91.0
6341,82.0,82.0
4456,95.0,95.0
4685,95.0,95.0
3410,79.0,79.0
875,81.0,81.0
3284,92.0,91.0
4426,95.0,95.0
3594,68.0,68.0
7595,91.0,90.0
1830,70.0,70.0
5867,95.0,95.0
7924,83.0,83.0
1670,89.0,89.0
4943,77.0,77.0
5743,87.0,87.0
4197,91.0,91.0
1484,81.0,81.0
1343,89.0,89.0
2951,91.0,91.0
4853,94.0,94.0
5787,76.0,75.0
6284,99.0,99.0
751,67.0,67.0
2249,84.0,84.0
1008,94.0,94.0
3402,80.0,80.0
472,86.0,85.0
4184,85.0,85.0
6201,94.0,94.0
3736,99.0,99.0
3774,98.0,98.0
5059,99.0,99.0
3978,89.0,89.0
6060,92.0,92.0
2048,96.0,96.0
2888,84.0,84.0
439,81.0,81.0
263,84.0,84.0
6510,93.0,93.0
5904,88.0,88.0
1715,86.0,85.0
5065,98.0,98.0
6589,94.0,94.0
6085,65.0,64.0
7447,74.0,74.0
7449,72.0,72.0
4443,83.0,83.0
121,98.0,98.0
1578,93.0,93.0
2611,86.0,86.0
7827,81.0,81.0
6339,90.0,90.0
7102,70.0,70.0
4166,89.0,89.0
2782,92.0,92.0
6228,95.0,95.0
496,75.0,74.0
3687,84.0,84.0
5694,80.0,80.0
4153,75.0,75.0
7101,80.0,80.0
3448,75.0,75.0
4487,87.0,87.0
6520,96.0,96.0
7244,65.0,65.0
5379,93.0,93.0
6083,86.0,86.0
812,70.0,70.0
5483,92.0,92.0
7561,84.0,84.0
206,80.0,80.0
1294,86.0,86.0
3783,100.0,100.0
5863,100.0,100.0
5950,93.0,93.0
7708,83.0,83.0
7592,91.0,91.0
4697,86.0,86.0
7841,83.0,83.0
240,79.0,79.0
7290,90.0,90.0
1607,86.0,86.0
7330,95.0,95.0
3960,93.0,93.0
3615,56.0,56.0
4284,89.0,89.0
6276,86.0,86.0
5301,96.0,96.0
1710,65.0,64.0
6615,96.0,96.0
3842,90.0,90.0
5733,77.0,77.0
5634,100.0,100.0
3865,57.0,58.0
5759,92.0,92.0
7146,92.0,92.0
2606,88.0,88.0
7259,61.0,61.0
991,93.0,93.0
5655,99.0,99.0
2175,95.0,95.0
3140,100.0,100.0
899,85.0,85.0
6230,98.0,98.0
2719,93.0,93.0
252,85.0,85.0
1652,70.0,70.0
5868,96.0,96.0
6003,14.0,33.0
1726,83.0,83.0
5386,95.0,95.0
3646,78.0,78.0
7876,71.0,71.0
2586,86.0,86.0
4441,75.0,75.0
7242,83.0,83.0
7773,90.0,90.0
6183,93.0,93.0
3184,98.0,98.0
7851,76.0,76.0
1182,61.0,60.0
7687,83.0,83.0
5194,78.0,78.0
1687,91.0,91.0
5864,99.0,99.0
2041,96.0,96.0
3269,96.0,96.0
1785,93.0,93.0
5360,90.0,90.0
731,85.0,85.0
1520,95.0,95.0
1568,90.0,90.0
7819,73.0,73.0
695,93.0,93.0
2998,88.0,88.0
1467,71.0,71.0
3476,95.0,95.0
2290,99.0,99.0
1120,98.0,98.0
3639,85.0,85.0
3348,87.0,88.0
1456,76.0,76.0
4578,74.0,74.0
6648,88.0,88.0
6301,91.0,91.0
2364,97.0,97.0
5147,91.0,91.0
6076,70.0,70.0
7385,80.0,80.0
1783,96.0,96.0
3585,87.0,87.0
4266,92.0,92.0
6473,97.0,97.0
3908,82.0,82.0
3906,83.0,83.0
4717,88.0,88.0
6239,95.0,95.0
2381,79.0,79.0
1292,79.0,79.0
6542,76.0,76.0
836,77.0,77.0
6417,87.0,88.0
4788,89.0,89.0
685,94.0,94.0
4559,82.0,82.0
3833,91.0,91.0
4271,92.0,92.0
3214,96.0,96.0
3939,83.0,83.0
2228,94.0,94.0
6454,99.0,99.0
3051,88.0,88.0
2368,97.0,97.0
7783,94.0,94.0
4111,98.0,98.0
6285,82.0,82.0
2663,99.0,99.0
3795,77.0,77.0
4145,92.0,92.0
4234,88.0,88.0
3667,69.0,69.0
2975,93.0,93.0
15,89.0,89.0
5020,91.0,91.0
6725,96.0,96.0
1590,85.0,85.0
3131,99.0,99.0
3568,79.0,79.0
3790,62.0,62.0
5467,95.0,95.0
1238,76.0,76.0
1043,89.0,89.0
2293,97.0,97.0
1425,54.0,54.0
841,86.0,86.0
4895,86.0,86.0
3605,79.0,79.0
5561,97.0,97.0
5577,91.0,91.0
5532,94.0,94.0
12,93.0,93.0
6640,85.0,85.0
2764,95.0,95.0
2623,91.0,91.0
1982,75.0,75.0
3700,16.0,23.0
4960,90.0,90.0
3856,88.0,88.0
1526,74.0,74.0
6918,93.0,93.0
6353,92.0,92.0
6944,85.0,85.0
3167,100.0,100.0
3696,61.0,61.0
6563,68.0,68.0
6507,100.0,100.0
7485,62.0,61.0
5876,93.0,93.0
4115,94.0,94.0
5187,83.0,83.0
6266,83.0,83.0
3501,89.0,89.0
5158,89.0,89.0
3013,56.0,56.0
5828,68.0,68.0
2535,84.0,84.0
5264,75.0,74.0
6857,85.0,85.0
5913,65.0,65.0
1086,100.0,100.0
6306,90.0,90.0
4642,72.0,72.0
6270,76.0,76.0
4338,96.0,96.0
4852,80.0,80.0
3464,98.0,98.0
2214,89.0,89.0
4840,84.0,84.0
3323,82.0,82.0
1700,67.0,67.0
5907,60.0,60.0
4740,92.0,92.0
3826,72.0,72.0
4339,98.0,98.0
3121,79.0,79.0
7011,97.0,97.0
5476,86.0,86.0
7737,78.0,78.0
5980,91.0,91.0
4475,79.0,78.0
4347,60.0,60.0
3197,95.0,95.0
5091,100.0,100.0
6096,75.0,75.0
6813,85.0,84.0
5734,71.0,71.0
6,91.0,91.0
4631,83.0,82.0
3976,95.0,95.0
2279,97.0,97.0
783,29.0,41.0
3975,93.0,93.0
7249,77.0,77.0
5676,80.0,81.0
1633,99.0,99.0
8,85.0,85.0
6762,69.0,69.0
4766,96.0,96.0
6741,82.0,82.0
3485,92.0,92.0
1129,92.0,92.0
5388,92.0,92.0
1900,85.0,85.0
517,58.0,59.0
6170,90.0,90.0
1643,98.0,98.0
5109,94.0,94.0
993,90.0,90.0
1914,92.0,92.0
1136,96.0,96.0
6800,83.0,83.0
2448,93.0,93.0
5892,98.0,98.0
5260,70.0,70.0
1926,85.0,85.0
2805,94.0,94.0
5601,100.0,100.0
6957,91.0,91.0
4172,91.0,91.0
1651,63.0,64.0
5469,97.0,97.0
7505,85.0,84.0
142,83.0,83.0
2434,93.0,93.0
3756,98.0,98.0
7151,80.0,80.0
7400,61.0,62.0
4514,84.0,84.0
3350,94.0,94.0
1001,92.0,92.0
7776,92.0,92.0
5362,87.0,87.0
2067,90.0,90.0
4832,83.0,83.0
7322,83.0,83.0
6932,95.0,95.0
4603,86.0,86.0
6191,94.0,94.0
597,92.0,92.0
826,84.0,84.0
675,85.0,85.0
402,97.0,97.0
6219,95.0,95.0
7058,65.0,65.0
1150,84.0,84.0
2213,94.0,94.0
5558,97.0,97.0
1696,79.0,79.0
1642,99.0,99.0
4922,50.0,51.0
7021,91.0,91.0
3053,61.0,61.0
1784,91.0,91.0
2899,96.0,96.0
1160,92.0,92.0
3016,58.0,57.0
6419,96.0,96.0
6041,97.0,97.0
1196,94.0,94.0
5078,96.0,96.0
4712,78.0,78.0
220,73.0,73.0
4921,72.0,73.0
4117,99.0,99.0
1892,76.0,76.0
5984,95.0,95.0
7373,88.0,88.0
364,85.0,85.0
3766,98.0,98.0
7912,91.0,91.0
5081,97.0,97.0
7167,86.0,86.0
1940,67.0,66.0
4340,59.0,60.0
7045,67.0,67.0
1281,90.0,90.0
2872,86.0,86.0
3563,99.0,99.0
1185,91.0,91.0
130,71.0,71.0
302,51.0,51.0
818,88.0,88.0
5748,86.0,86.0
1624,65.0,64.0
3433,89.0,89.0
6258,82.0,82.0
235,78.0,78.0
4972,84.0,84.0
7329,93.0,92.0
1108,97.0,97.0
1232,76.0,76.0
4064,89.0,89.0
2773,93.0,94.0
7849,80.0,80.0
7699,86.0,86.0
862,75.0,75.0
2266,91.0,91.0
7534,68.0,68.0
4923,63.0,63.0
4958,93.0,93.0
3904,85.0,85.0
6866,79.0,79.0
6012,98.0,98.0
5183,72.0,72.0
1370,85.0,85.0
6891,88.0,88.0
3014,59.0,59.0
2826,99.0,99.0
5750,86.0,86.0
7614,94.0,94.0
4433,76.0,76.0
555,84.0,84.0
1819,68.0,68.0
4696,78.0,78.0
3194,99.0,99.0
7900,92.0,92.0
7103,80.0,80.0
2417,82.0,82.0
4109,79.0,79.0
6940,90.0,90.0
2967,87.0,87.0
3220,48.0,49.0
3888,87.0,87.0
6850,83.0,83.0
7454,53.0,52.0
2172,83.0,83.0
2122,96.0,96.0
4626,82.0,82.0
910,90.0,90.0
5921,71.0,71.0
3381,93.0,93.0
5140,96.0,96.0
3655,51.0,50.0
6780,87.0,87.0
2400,81.0,81.0
7854,86.0,86.0
6030,96.0,96.0
5221,76.0,76.0
6333,96.0,96.0
7800,92.0,92.0
7493,86.0,86.0
6986,89.0,89.0
2894,73.0,73.0
4705,88.0,88.0
1173,95.0,95.0
5724,66.0,66.0
3351,86.0,86.0
1718,70.0,70.0
4873,97.0,97.0
6779,85.0,85.0
6826,93.0,93.0
7759,94.0,94.0
308,61.0,61.0
2644,85.0,85.0
5318,100.0,100.0
718,73.0,73.0
2661,100.0,100.0
4422,96.0,96.0
1063,98.0,98.0
443,72.0,71.0
5962,89.0,89.0
84,30.0,34.0
7619,90.0,89.0
3359,87.0,87.0
729,80.0,81.0
2853,100.0,100.0
2481,79.0,79.0
7529,83.0,83.0
7127,94.0,94.0
5392,97.0,97.0
3202,87.0,87.0
3169,98.0,98.0
7546,83.0,83.0
5061,94.0,94.0
6140,84.0,84.0
5419,88.0,88.0
7251,89.0,89.0
379,88.0,88.0
1547,87.0,87.0
6061,97.0,97.0
6296,93.0,93.0
2095,96.0,96.0
7154,94.0,94.0
3900,81.0,81.0
6806,62.0,62.0
7672,84.0,84.0
4375,70.0,69.0
4133,90.0,90.0
534,81.0,81.0
3358,70.0,70.0
4261,90.0,90.0
3698,36.0,36.0
678,92.0,92.0
2754,87.0,87.0
7590,88.0,87.0
539,79.0,79.0
2372,85.0,85.0
7802,87.0,87.0
5842,96.0,96.0
1554,90.0,90.0
4136,96.0,96.0
6459,99.0,99.0
5925,74.0,74.0
1551,94.0,94.0
4624,90.0,91.0
3209,53.0,53.0
2838,99.0,99.0
1362,68.0,67.0
2724,98.0,98.0
6272,85.0,85.0
4429,87.0,87.0
269,75.0,75.0
661,91.0,91.0
4556,82.0,82.0
2038,86.0,86.0
7846,76.0,76.0
5101,89.0,89.0
3872,86.0,86.0
893,82.0,82.0
2193,95.0,95.0
5338,89.0,89.0
3663,55.0,56.0
2235,90.0,90.0
1290,67.0,68.0
6387,91.0,91.0
5204,65.0,65.0
735,65.0,65.0
3690,20.0,18.0
4424,100.0,100.0
4987,97.0,97.0
6952,86.0,86.0
3426,91.0,91.0
4218,85.0,85.0
2004,88.0,88.0
2716,98.0,98.0
7558,83.0,84.0
6112,78.0,78.0
4196,87.0,87.0
1361,84.0,84.0
7555,62.0,62.0
187,66.0,66.0
6587,81.0,81.0
5770,61.0,61.0
196,70.0,70.0
2429,80.0,79.0
322,55.0,55.0
3456,82.0,82.0
3847,93.0,93.0
7366,93.0,93.0
7062,83.0,83.0
5306,89.0,89.0
7624,93.0,93.0
7403,52.0,53.0
5923,65.0,65.0
5052,98.0,98.0
5351,84.0,85.0
489,62.0,61.0
5335,83.0,83.0
6632,85.0,85.0
5456,94.0,94.0
34,91.0,91.0
113,86.0,86.0
5445,86.0,86.0
917,61.0,61.0
5607,100.0,100.0
3609,56.0,57.0
5178,85.0,85.0
6039,96.0,96.0
6038,85.0,85.0
1314,94.0,94.0
3858,83.0,83.0
6166,74.0,74.0
4030,92.0,92.0
4318,89.0,89.0
2756,97.0,97.0
4880,83.0,84.0
4185,94.0,94.0
3913,91.0,91.0
1180,89.0,89.0
2267,69.0,69.0
2580,91.0,91.0
5354,93.0,93.0
4395,99.0,100.0
1098,95.0,95.0
2962,89.0,89.0
4170,84.0,84.0
6889,86.0,86.0
4899,74.0,74.0
1656,48.0,48.0
861,72.0,72.0
7390,78.0,77.0
3545,99.0,99.0
2726,98.0,98.0
5571,100.0,100.0
1189,96.0,96.0
2433,90.0,90.0
5790,81.0,81.0
371,91.0,91.0
811,68.0,68.0
7472,56.0,56.0
3539,87.0,87.0
5721,85.0,85.0
3554,99.0,99.0
4061,86.0,87.0
3907,74.0,74.0
6642,87.0,87.0
6401,95.0,95.0
1985,76.0,76.0
3100,75.0,75.0
1386,90.0,90.0
4247,87.0,87.0
5406,95.0,95.0
272,59.0,59.0
6498,92.0,91.0
221,72.0,72.0
6882,78.0,78.0
6830,52.0,51.0
260,74.0,74.0
7078,87.0,87.0
1580,89.0,89.0
4235,90.0,90.0
4085,100.0,100.0
5177,93.0,93.0
7488,56.0,56.0
4706,86.0,85.0
7398,70.0,70.0
1536,77.0,77.0
2488,96.0,96.0
1413,78.0,78.0
6019,95.0,95.0
5850,91.0,91.0
6575,67.0,67.0
4372,60.0,60.0
3320,90.0,90.0
6699,92.0,92.0
5475,82.0,82.0
6123,84.0,84.0
2931,93.0,93.0
5216,78.0,78.0
1487,82.0,82.0
3319,95.0,95.0
5542,95.0,95.0
3636,84.0,84.0
3472,98.0,98.0
5033,91.0,91.0
758,55.0,55.0
7772,91.0,91.0
4013,81.0,81.0
5278,79.0,78.0
7486,57.0,58.0
554,83.0,83.0
6727,90.0,90.0
6523,99.0,99.0
601,83.0,83.0
1601,71.0,71.0
2774,85.0,85.0
2703,99.0,99.0
1421,87.0,87.0
3931,67.0,67.0
4812,89.0,89.0
3572,55.0,55.0
3365,91.0,91.0
3852,93.0,93.0
6035,96.0,96.0
5717,77.0,77.0
2793,88.0,88.0
5350,89.0,88.0
4041,89.0,89.0
1692,90.0,91.0
388,61.0,61.0
4565,68.0,68.0
3650,79.0,79.0
6871,81.0,81.0
1460,82.0,82.0
2285,99.0,99.0
137,87.0,87.0
2905,98.0,98.0
1712,67.0,66.0
4257,88.0,88.0
2017,67.0,67.0
806,75.0,75.0
7649,89.0,89.0
3099,87.0,87.0
4808,95.0,95.0
3658,74.0,74.0
2578,94.0,94.0
535,59.0,59.0
7115,89.0,89.0
6274,88.0,88.0
6710,92.0,92.0
6174,66.0,66.0
4805,87.0,87.0
2891,87.0,87.0
5453,81.0,81.0
2650,100.0,100.0
3688,31.0,28.0
429,93.0,93.0
3570,74.0,74.0
4906,89.0,89.0
6396,86.0,86.0
20,88.0,88.0
6020,93.0,93.0
1328,83.0,83.0
7653,91.0,91.0
7842,79.0,79.0
3914,78.0,78.0
7143,94.0,94.0
7258,81.0,82.0
4276,94.0,94.0
5263,88.0,88.0
5974,91.0,91.0
2030,92.0,92.0
5282,85.0,85.0
2966,89.0,89.0
2262,93.0,93.0
6781,84.0,84.0
3073,71.0,71.0
286,67.0,67.0
2932,89.0,90.0
1145,96.0,96.0
7123,88.0,88.0
4871,88.0,88.0
6155,70.0,69.0
5430,85.0,85.0
863,88.0,88.0
2217,93.0,93.0
6904,94.0,94.0
5952,93.0,93.0
1854,86.0,87.0
9,83.0,83.0
4952,92.0,92.0
2270,93.0,93.0
6929,94.0,94.0
4916,80.0,80.0
7479,71.0,71.0
4945,93.0,93.0
2641,83.0,83.0
1957,75.0,75.0
7092,61.0,62.0
7587,89.0,89.0
2755,96.0,96.0
7334,84.0,84.0
1961,87.0,87.0
3626,86.0,86.0
1922,92.0,92.0
396,92.0,92.0
3654,71.0,70.0
7594,80.0,80.0
2682,100.0,100.0
7184,98.0,98.0
1495,85.0,85.0
6151,71.0,71.0
1267,91.0,91.0
6544,69.0,69.0
5153,99.0,99.0
2516,90.0,90.0
4088,93.0,93.0
745,55.0,55.0
6465,98.0,98.0
3750,99.0,99.0
3136,96.0,96.0
4148,80.0,80.0
1952,94.0,94.0
1953,68.0,68.0
109,40.0,43.0
2031,92.0,92.0
2234,89.0,89.0
4536,67.0,67.0
7004,95.0,95.0
4683,79.0,78.0
5826,74.0,74.0
70,67.0,66.0
6220,97.0,97.0
6559,80.0,80.0
2480,89.0,89.0
5377,91.0,91.0
2760,94.0,94.0
2983,90.0,90.0
5649,98.0,98.0
346,73.0,73.0
5082,93.0,93.0
3728,20.0,19.0
1859,84.0,84.0
660,95.0,95.0
4118,92.0,92.0
6864,81.0,81.0
1095,96.0,96.0
6392,91.0,91.0
4374,59.0,58.0
3943,95.0,95.0
880,85.0,85.0
1933,91.0,91.0
4430,74.0,74.0
2009,61.0,61.0
5514,92.0,92.0
5804,72.0,72.0
2455,89.0,89.0
6734,89.0,89.0
1,93.0,93.0
1733,86.0,86.0
7893,78.0,79.0
1013,94.0,94.0
7721,79.0,79.0
620,82.0,82.0
5550,94.0,94.0
2585,89.0,89.0
4872,95.0,95.0
7023,63.0,63.0
3691,32.0,30.0
3043,66.0,66.0
4036,87.0,87.0
6468,93.0,93.0
7418,70.0,69.0
5928,59.0,59.0
3050,81.0,81.0
5915,76.0,76.0
1806,91.0,91.0
1044,81.0,81.0
4379,50.0,50.0
1632,98.0,98.0
4542,82.0,81.0
6405,87.0,87.0
7465,65.0,65.0
7254,70.0,69.0
4255,86.0,86.0
2866,85.0,85.0
283,51.0,52.0
3484,96.0,96.0
4278,92.0,92.0
557,85.0,85.0
7149,98.0,98.0
6492,95.0,95.0
2329,94.0,94.0
4265,94.0,94.0
7754,95.0,95.0
6153,81.0,81.0
380,79.0,78.0
470,85.0,85.0
5472,92.0,92.0
898,84.0,84.0
3873,88.0,88.0
3768,98.0,98.0
2797,97.0,97.0
3564,99.0,99.0
1096,96.0,96.0
4999,92.0,92.0
276,80.0,79.0
3101,75.0,74.0
1473,80.0,80.0
5771,85.0,85.0
1928,82.0,82.0
401,80.0,80.0
1262,89.0,89.0
6050,93.0,93.0
728,77.0,77.0
1377,89.0,89.0
5959,96.0,96.0
1545,87.0,87.0
2604,89.0,89.0
1688,90.0,89.0
5530,89.0,89.0
1170,96.0,96.0
6558,73.0,73.0
4993,92.0,92.0
1336,69.0,69.0
88,34.0,33.0
7703,80.0,81.0
5728,79.0,79.0
7356,72.0,72.0
2915,85.0,85.0
4579,71.0,71.0
2519,93.0,93.0
2171,71.0,71.0
219,83.0,84.0
6516,91.0,91.0
195,78.0,78.0
3598,83.0,83.0
1640,98.0,98.0
4941,92.0,92.0
6226,96.0,96.0
4405,96.0,96.0
6533,96.0,96.0
6822,72.0,72.0
2776,39.0,38.0
2346,93.0,93.0
3471,91.0,91.0
7350,92.0,92.0
3112,85.0,85.0
3213,83.0,83.0
6461,100.0,100.0
6411,98.0,98.0
4634,90.0,90.0
6824,84.0,84.0
608,81.0,81.0
7197,60.0,60.0
2572,91.0,91.0
832,89.0,89.0
5220,88.0,88.0
4408,94.0,94.0
5048,94.0,94.0
405,97.0,97.0
414,96.0,96.0
6999,98.0,98.0
4655,92.0,92.0
6389,93.0,93.0
2259,88.0,88.0
3162,99.0,99.0
6534,97.0,97.0
6790,70.0,70.0
7610,92.0,92.0
4092,89.0,89.0
66,85.0,85.0
7140,88.0,88.0
413,80.0,80.0
1330,80.0,79.0
6415,96.0,96.0
2247,97.0,97.0
6471,100.0,100.0
4252,89.0,89.0
3307,88.0,87.0
1351,84.0,84.0
241,80.0,80.0
3092,79.0,79.0
2460,93.0,93.0
7607,95.0,95.0
3664,71.0,71.0
7541,82.0,82.0
4671,58.0,58.0
4313,90.0,90.0
2011,78.0,78.0
6377,91.0,91.0
6939,93.0,92.0
939,90.0,90.0
7680,77.0,77.0
2027,94.0,94.0
2608,96.0,97.0
4900,79.0,79.0
5796,77.0,76.0
2843,100.0,100.0
2911,96.0,96.0
381,81.0,81.0
7381,64.0,64.0
2831,98.0,98.0
7492,90.0,90.0
7086,89.0,89.0
4001,89.0,89.0
1391,74.0,74.0
7774,96.0,96.0
5643,100.0,100.0
223,82.0,82.0
7696,86.0,86.0
1662,74.0,74.0
3083,68.0,68.0
2747,96.0,96.0
2164,68.0,68.0
4181,93.0,93.0
2560,94.0,94.0
3987,91.0,91.0
6877,88.0,88.0
6209,99.0,99.0
361,74.0,74.0
1778,89.0,89.0
4202,91.0,91.0
4504,86.0,86.0
5470,89.0,89.0
3537,83.0,83.0
5210,85.0,85.0
4481,78.0,78.0
977,95.0,95.0
5976,95.0,95.0
5592,89.0,89.0
4692,89.0,89.0
349,80.0,80.0
2873,95.0,95.0
6414,99.0,99.0
4837,94.0,94.0
4957,91.0,91.0
621,81.0,81.0
3637,90.0,90.0
1106,98.0,98.0
3027,68.0,68.0
2377,90.0,90.0
1327,79.0,79.0
2531,91.0,91.0
6901,89.0,89.0
867,76.0,76.0
1586,89.0,89.0
2397,89.0,89.0
2223,91.0,91.0
3777,99.0,99.0
5478,94.0,94.0
1979,93.0,93.0
1245,31.0,31.0
4174,91.0,91.0
2001,79.0,79.0
465,65.0,65.0
7717,79.0,78.0
6277,88.0,88.0
3149,99.0,99.0
4097,91.0,91.0
1171,95.0,95.0
7186,97.0,98.0
3522,88.0,88.0
4737,92.0,92.0
6890,82.0,82.0
6748,91.0,91.0
1840,90.0,90.0
2340,86.0,85.0
2303,98.0,98.0
3862,99.0,99.0
6842,78.0,78.0
3063,61.0,61.0
1669,50.0,51.0
3093,87.0,87.0
4730,92.0,92.0
415,92.0,92.0
1593,77.0,77.0
7550,85.0,85.0
348,86.0,86.0
5791,64.0,64.0
3164,99.0,99.0
2854,100.0,99.0
2731,97.0,97.0
3680,83.0,83.0
4316,86.0,85.0
4474,74.0,73.0
6290,92.0,92.0
5645,100.0,100.0
7508,92.0,92.0
4694,92.0,92.0
5423,80.0,80.0
4034,81.0,81.0
3838,95.0,95.0
7753,95.0,95.0
2404,89.0,89.0
1465,74.0,73.0
1371,88.0,88.0
2243,92.0,92.0
5773,64.0,63.0
682,94.0,94.0
2971,87.0,87.0
5683,88.0,88.0
3780,96.0,96.0
7163,98.0,98.0
4178,93.0,93.0
596,87.0,87.0
2545,92.0,92.0
7051,86.0,86.0
5953,94.0,94.0
2470,95.0,95.0
5206,76.0,76.0
30,92.0,92.0
6238,89.0,89.0
7346,75.0,75.0
6288,95.0,95.0
4209,80.0,80.0
2039,86.0,86.0
2875,90.0,90.0
871,89.0,89.0
7578,95.0,95.0
1864,79.0,79.0
7308,90.0,90.0
1042,62.0,62.0
1116,96.0,96.0
2211,92.0,92.0
6803,59.0,58.0
2887,85.0,85.0
4707,25.0,18.0
828,88.0,88.0
6190,94.0,94.0
4977,94.0,94.0
4130,99.0,99.0
3375,82.0,82.0
7887,94.0,94.0
1965,79.0,79.0
531,84.0,84.0
7000,87.0,87.0
3373,92.0,92.0
2889,74.0,74.0
5594,95.0,95.0
951,86.0,85.0
570,86.0,86.0
6970,88.0,88.0
1736,90.0,90.0
4458,94.0,94.0
1041,87.0,87.0
2543,80.0,80.0
7658,93.0,93.0
5136,100.0,100.0
6327,83.0,83.0
4015,95.0,95.0
7767,96.0,96.0
1625,78.0,78.0
872,87.0,87.0
6487,90.0,90.0
666,80.0,80.0
6786,89.0,89.0
6998,96.0,96.0
3327,91.0,91.0
4344,89.0,89.0
6054,95.0,95.0
4606,91.0,91.0
238,74.0,74.0
1524,71.0,71.0
4659,84.0,84.0
2165,66.0,66.0
7278,90.0,90.0
4167,94.0,94.0
1828,87.0,87.0
2521,95.0,95.0
3616,80.0,80.0
5602,100.0,100.0
6750,90.0,90.0
17,89.0,89.0
2563,80.0,80.0
2657,98.0,98.0
3270,85.0,84.0
6776,44.0,45.0
965,84.0,84.0
172,72.0,72.0
4615,89.0,89.0
483,86.0,86.0
5076,99.0,99.0
520,87.0,86.0
36,88.0,88.0
5625,100.0,100.0
4519,65.0,65.0
5168,99.0,99.0
2075,95.0,95.0
4068,94.0,94.0
1155,98.0,98.0
3223,93.0,93.0
1045,79.0,79.0
4912,92.0,92.0
5324,89.0,89.0
1083,96.0,96.0
6077,86.0,86.0
7188,97.0,97.0
2643,85.0,85.0
6359,91.0,91.0
1302,89.0,89.0
3789,77.0,77.0
6752,91.0,91.0
2058,97.0,97.0
376,80.0,80.0
5486,96.0,96.0
873,81.0,82.0
6739,93.0,93.0
6104,89.0,89.0
4778,92.0,92.0
2284,99.0,99.0
7294,80.0,79.0
4048,91.0,91.0
5336,72.0,71.0
2148,95.0,95.0
607,75.0,75.0
5224,82.0,82.0
5969,97.0,97.0
1732,74.0,74.0
2868,93.0,93.0
2161,70.0,69.0
4282,87.0,87.0
3731,98.0,98.0
1037,86.0,86.0
5395,93.0,93.0
3234,92.0,92.0
825,84.0,84.0
4994,80.0,80.0
3156,100.0,100.0
4681,92.0,92.0
4077,97.0,97.0
5108,100.0,100.0
1427,63.0,63.0
1668,80.0,79.0
7443,64.0,64.0
918,94.0,94.0
2530,93.0,93.0
452,87.0,87.0
4003,91.0,91.0
2933,92.0,92.0
450,83.0,83.0
